"Navn","Rang f ca. 1700[3][4]","Rang f ca. 1800[3][4]","Rang f ca. 1900[5]","Rang f ca. 2000[6]","Rang ibefolkningen 2005","Antall ibefolkningen 2005","Rang ibefolkningen 2018[2]","Antall ibefolkningen 2018[2]"
"Aage","","","","","214","1 840","323","1 275"
"Aaron","","","","","","< 200","549","438"
"Aasmund","","","","","456","373","680","299"
"Abbas","","","","","","< 200","703","280"
"Abdi","","","","","422","441","459","592"
"Abdirahman","","","","","531","277","400","788"
"Abdul","","","","","374","593","352","1 037"
"Abdulkadir","","","","","","< 200","796","226"
"Abdullah","","","","","535","272","408","752"
"Abdullahi","","","","","556","251","455","606"
"Abdulrahman","","","","","","< 200","755","244"
"Abel","","","","","","< 200","511","499"
"Abraham","","42","","","","< 200","630","338"
"Adam","","","","","351","675","151","3 877"
"Adel","","","","","","< 200","859","201"
"Adil","","","","","","< 200","826","211"
"Adnan","","","","","475","339","456","606"
"Adolf","","","","","567","233","","< 200"
"Adrian","","","","34","120","4 946","62","9 635"
"Agnar","","","","","295","1 089","389","833"
"Ahmad","","","","","411","473","259","1 947"
"Ahmed","","","","","269","1 282","209","2 768"
"Ahmet","","","","","545","259","641","328"
"Ailo","","","","","","< 200","593","372"
"Aksel","","","47","","192","2 235","132","4 873"
"Alan","","","","","449","391","404","772"
"Albert","","","","","314","898","273","1 762"
"Alejandro","","","","","","< 200","832","209"
"Aleksandar","","","","","","< 200","587","378"
"Aleksander","","","","31","113","5 219","99","7 201"
"Aleksandr","","","","","","< 200","768","238"
"Alex","","","","","471","350","373","916"
"Alexander","","","","23","83","7 911","47","11 496"
"Alexandru","","","","","","< 200","777","235"
"Alf","","","15","","62","9 891","96","7 337"
"Alfred","","","31","","230","1 630","240","2 252"
"Ali","","","","","205","1 990","161","3 766"
"Allan","","","","","383","547","445","624"
"Alv","","","","","433","416","671","306"
"Alvin","","","","","","< 200","483","551"
"Amanuel","","","","","","< 200","699","282"
"Amar","","","","","","< 200","808","220"
"Amer","","","","","","< 200","850","203"
"Amin","","","","","","< 200","597","370"
"Amir","","","","","409","479","348","1 075"
"Ammar","","","","","","< 200","728","262"
"Amund","27","27","","","209","1 913","216","2 593"
"Anas","","","","","","< 200","577","398"
"Anders","5","4","30","12","19","19 652","19","19 370"
"Andre","","","","","105","5 973","107","6 461"
"Andreas","37","9","37","2","22","17 919","16","21 030"
"Andrei","","","","","","< 200","649","321"
"Andrej","","","","","","< 200","820","215"
"Andres","","","","","539","266","619","349"
"Andrew","","","","","451","389","444","625"
"Andris","","","","","","< 200","833","209"
"Andrius","","","","","","< 200","485","548"
"Andrzej","","","","","567","233","268","1 817"
"Anfinn","","","","","566","235","","< 200"
"Annar","","","","","509","301","753","245"
"Ansgar","","","","","429","423","663","309"
"Anthony","","","","","509","301","526","477"
"Anton","","","42","","239","1 508","239","2 255"
"Antoni","","","","","","< 200","668","307"
"Antonio","","","","","541","264","477","560"
"Anwar","","","","","","< 200","857","202"
"Are","","","","","191","2 263","230","2 329"
"Arent","47","","","","","< 200","","< 200"
"Ari","","","","","","< 200","744","250"
"Arian","","","","","","< 200","465","582"
"Arild","","","","","51","10 946","58","9 990"
"Arkadiusz","","","","","","< 200","429","678"
"Arman","","","","","","< 200","657","313"
"Armin","","","","","","< 200","722","267"
"Arn","","","","","","< 200","851","203"
"Arne","26","32","7","","7","30 108","10","22 408"
"Arnfinn","","","","","162","3 040","218","2 576"
"Arnljot","","","","","555","252","","< 200"
"Arnold","","","","","272","1 271","388","837"
"Arnstein","","","","","289","1 137","347","1 077"
"Arnt","","","","","150","3 497","184","3 078"
"Arnulf","","","","","332","793","461","591"
"Aron","","","","","394","513","246","2 167"
"Arthur","","","33","","227","1 672","307","1 383"
"Artur","","","","","589","213","325","1 257"
"Arturas","","","","","","< 200","572","406"
"Arunas","","","","","","< 200","639","334"
"Arve","","","","","123","4 853","144","4 291"
"Arvid","","","","","90","6 990","124","5 241"
"Aryan","","","","","","< 200","782","233"
"Asbjørn","","","35","","79","8 197","111","6 175"
"Asgeir","","","","","286","1 162","341","1 140"
"Ask","","","","","440","403","333","1 196"
"Aslak","","","","","285","1 167","309","1 381"
"Asle","","","","","208","1 931","270","1 777"
"Asmund","","","","","489","322","791","229"
"Atle","","","","","106","5 887","118","5 622"
"Audrius","","","","","","< 200","689","287"
"Audun","","","","","136","3 872","155","3 832"
"August","","","","","307","961","262","1 913"
"Aurimas","","","","","","< 200","771","237"
"Axel","","","","","296","1 082","265","1 842"
"Ayman","","","","","","< 200","752","246"
"Baard","","","","","446","397","580","393"
"Balder","","","","","","< 200","640","329"
"Bartlomiej","","","","","","< 200","538","457"
"Bartosz","","","","","","< 200","490","538"
"Bastian","","","","","559","249","426","679"
"Ben","","","","","428","428","486","546"
"Bendik","","","","","226","1 686","254","2 078"
"Bengt","","","","","222","1 716","284","1 673"
"Benjamin","","","","45","135","3 893","90","7 754"
"Benny","","","","","538","269","706","277"
"Bent","","","","","187","2 321","245","2 172"
"Bernard","","","","","","< 200","827","211"
"Bernhard","","","","","333","781","422","692"
"Bernt","","","","","156","3 363","201","2 898"
"Bertil","","","","","536","271","732","259"
"Bilal","","","","","581","224","518","490"
"Birger","","","32","","137","3 829","214","2 665"
"Birk","","","","","402","494","291","1 578"
"Biørn","47","","","","","< 200","","< 200"
"Bjarne","","","19","","86","7 493","130","4 902"
"Bjarte","","","","","196","2 084","256","2 042"
"Bjørge","","","","","546","258","779","234"
"Bjørn","","","","49","3","41 039","2","37 048"
"Bjørnar","","","","","122","4 870","134","4 864"
"Bjørn-Erik","","","","","528","282","712","275"
"Bo","","","","","377","568","377","887"
"Bogdan","","","","","","< 200","539","455"
"Boguslaw","","","","","","< 200","842","205"
"Borgar","","","","","550","256","719","268"
"Brage","","","","","270","1 279","198","2 911"
"Brede","","","","","324","844","356","1 020"
"Brian","","","","","381","558","397","807"
"Bror","","","","","457","372","500","510"
"Bruno","","","","","","< 200","701","281"
"Brynjar","","","","","364","615","427","679"
"Brynjulf","","","","","454","381","747","249"
"Børge","","","","","213","1 888","266","1 834"
"Børre","","","","","294","1 095","360","997"
"Bård","","","","","134","3 946","162","3 752"
