"Rang","Navn","Antall per 2020"
"1","Anne","59895"
"2","Inger","28995"
"3","Kari","25249"
"4","Marit","25097"
"5","Ingrid","24425"
"6","Liv","22803"
"7","Maria","19381"
"8","Eva","19131"
"9","Ida","19088"
"10","Anna","18807"
"11","Hilde","18075"
"12","Nina","17908"
"13","Marianne","17787"
"14","Elisabeth","17445"
"15","Berit","17202"
"16","Kristin","17122"
"17","Astrid","16928"
"18","Bente","16200"
"19","Randi","16180"
"20","Bjørg","15951"
"21","Solveig","15847"
"22","Heidi","15767"
"23","Silje","15538"
"24","Hanne","15276"
"25","Linda","15046"
"26","Tone","14779"
"27","Anita","14591"
"28","Elin","14540"
"29","Tove","14246"
"30","Wenche","13826"
"31","Camilla","13698"
"32","Julie","13057"
"33","Hege","12894"
"34","Ragnhild","12840"
"35","Ellen","12694"
"36","Mona","12513"
"37","Ann","12486"
"38","Gerd","12484"
"39","Marie","12449"
"40","Karin","12011"
"41","Monica","11796"
"42","Emma","11606"
"43","Kristine","11307"
"44","Aud","11105"
"45","Helene","10963"
"46","Stine","10903"
"47","Laila","10816"
"48","Mari","10775"
"49","Thea","10761"
"50","Nora","10717"
"51","Turid","10589"
"52","Else","10576"
"53","Emilie","10421"
"54","Sara","10403"
"55","Line","10077"
"56","Sissel","9993"
"57","Malin","9937"
"58","Åse","9826"
"59","Lene","9806"
"60","Jorunn","9733"
"61","Trine","9614"
"62","Reidun","9457"
"63","Grethe","9067"
"64","Unni","9037"
"65","Gunn","8924"
"66","Grete","8753"
"67","May","8700"
"68","Lise","8677"
"69","Anette","8490"
"70","Sofie","8484"
"71","Linn","8399"
"72","Siri","8355"
"73","Cecilie","8308"
"74","Marte","8232"
"75","Vilde","8069"
"76","Eli","7893"
"77","Irene","7789"
"78","Gro","7770"
"79","Amalie","7616"
"80","Frida","7524"
"81","Kjersti","7500"
"82","Andrea","7496"
"83","Kirsten","7488"
"84","Martine","7411"
"85","Britt","7391"
"86","Janne","7353"
"87","Karoline","7290"
"88","Jenny","7230"
"89","Elise","7223"
"90","Siv","7164"
"91","Hanna","7138"
"92","Ruth","7083"
"93","Sigrid","7075"
"94","Ingeborg","6986"
"95","Mia","6839"
"96","Tonje","6784"
"97","Lena","6642"
"98","Rita","6640"
"99","Maren","6638"
"100","Cathrine","6575"
"101","Victoria","6525"
"102","Torill","6461"
"103","Ingvild","6263"
"104","Karen","6227"
"105","Therese","6221"
"106","Charlotte","6203"
"107","Oda","6106"
"108","Sandra","6100"
"109","Synnøve","6092"
"110","Vigdis","5977"
"111","Lillian","5956"
"112","Ingunn","5913"
"113","Brit","5864"
"114","Lisbeth","5738"
"115","Christine","5720"
"116","Signe","5708"
"117","Caroline","5580"
"118","Bodil","5559"
"119","Hedda","5509"
"120","Marthe","5398"
"121","Tina","5233"
"122","Ella","5115"
"123","Lisa","5107"
"124","Mathilde","5096"
"125","Merete","5082"
"126","Johanne","5042"
"127","Henriette","4994"
"128","Trude","4973"
"129","Linnea","4944"
"130","Eline","4735"
"131","Katrine","4654"
"132","Aurora","4580"
"133","Christina","4544"
"134","Kristina","4509"
"135","Marita","4457"
"136","Beate","4424"
"137","Sunniva","4400"
"138","Sonja","4376"
"139","Torunn","4351"
"140","Kirsti","4320"
"141","Susanne","4316"
"142","Ane","4313"
"143","Gry","4164"
"144","Guro","4158"
"145","Pernille","4146"
"146","Renate","4124"
"147","Mina","4117"
"148","Toril","4104"
"149","Julia","4080"
"150","Synne","4058"
"151","Kaja","4041"
"152","Sarah","4020"
"153","Selma","3989"
"154","Aina","3946"
"155","Monika","3930"
"156","Jeanette","3917"
"157","Amanda","3825"
"158","Tiril","3815"
"159","Veronica","3731"
"160","Mary","3720"
"161","Gunvor","3672"
"162","Solfrid","3644"
"163","Celine","3633"
"164","Anja","3600"
"165","Leah","3597"
"166","Sølvi","3536"
"167","Hannah","3527"
"168","Pia","3421"
"169","Helga","3414"
"170","Rigmor","3386"
"171","Sofia","3372"
"172","Ingebjørg","3287"
"173","Agnes","3279"
"174","Aase","3268"
"175","Gunhild","3260"
"176","Ina","3218"
"177","Mariann","3181"
"178","Lilly","3174"
"179","Birgit","3122"
"180","Elsa","3117"
"181","Kathrine","3109"
"182","Miriam","3041"
"183","Aslaug","3027"
"184","Åshild","3023"
"185","Lill","3013"
"186","Karina","3004"
"187","Live","2991"
"188","Iselin","2977"
"189","Lina","2922"
"190","Anne-Lise","2920"
"191","Jorun","2837"
"192","Helle","2821"
"193","Rikke","2820"
"194","Inga","2790"
"195","Margrethe","2765"
"196","Marta","2762"
"197","Ada","2752"
"198","Olaug","2750"
"199","Benedicte","2736"
"200","Eirin","2712"
"201","Malene","2707"
"202","Anniken","2698"
"203","Margit","2684"
"204","Ellinor","2679"
"205","June","2666"
"206","Alma","2655"
"207","Olga","2601"
"208","Magnhild","2592"
"209","Karianne","2589"
"210","Torhild","2584"
"211","Carina","2540"
"212","Evy","2540"
"213","Sigrun","2528"
"214","Johanna","2494"
"215","Alexandra","2467"
"216","Mathea","2464"
"217","Merethe","2443"
"218","Annette","2396"
"219","Elena","2393"
"220","Gudrun","2389"
"221","Maiken","2386"
"222","Michelle","2373"
"223","Jane","2367"
"224","Rebecca","2318"
"225","Kamilla","2270"
"226","Dina","2260"
"227","Helena","2244"
"228","Sidsel","2244"
"229","Ronja","2227"
"230","Erna","2206"
"231","Guri","2206"
"232","Martha","2195"
"233","Tine","2194"
"234","Ine","2171"
"235","Vera","2170"
"236","Svanhild","2130"
"237","Klara","2128"
"238","Edel","2125"
"239","Rebekka","2112"
"240","Josefine","2109"
"241","Madeleine","2099"
"242","Nathalie","2091"
"243","Edith","2081"
"244","Siw","2078"
"245","Natalie","2051"
"246","Mille","2025"
"247","Evelyn","2003"
"248","Jannicke","1969"
"249","Marion","1963"
"250","Madelen","1958"
"251","Astri","1950"
"252","Anny","1934"
"253","Laura","1919"
"254","Lotte","1903"
"255","Ann-Kristin","1899"
"256","Emily","1895"
"257","Målfrid","1891"
"258","Natalia","1891"
"259","Celina","1877"
"260","Lea","1876"
"261","Hildegunn","1864"
"262","Torild","1844"
"263","Brita","1805"
"264","Isabella","1805"
"265","Louise","1801"
"266","Yvonne","1796"
"267","Greta","1790"
"268","Kjellaug","1788"
"269","Tora","1779"
"270","Tordis","1752"
"271","Katarzyna","1729"
"272","Ylva","1719"
"273","Borghild","1705"
"274","Vivian","1703"
"275","Oddny","1684"
"276","Oline","1678"
"277","Gina","1671"
"278","Andrine","1670"
"279","Fatima","1670"
"280","Ester","1664"
"281","Isabel","1663"
"282","Mie","1659"
"283","Iris","1654"
"284","Iben","1653"
"285","Aleksandra","1641"
"286","Eldbjørg","1638"
"287","Magdalena","1630"
"288","Agnieszka","1627"
"289","Frøydis","1624"
"290","Judith","1581"
"291","Alva","1564"
"292","Oddrun","1557"
"293","Isabell","1549"
"294","Rakel","1545"
"295","Maya","1538"
"296","Emilia","1533"
"297","Sanna","1529"
"298","Alice","1488"
"299","Veronika","1486"
"300","Hjørdis","1476"
"301","Oddbjørg","1473"
"302","Stina","1472"
"303","Erle","1466"
"304","Viktoria","1460"
"305","Dagny","1458"
"306","Marina","1446"
"307","Lone","1434"
"308","Henny","1430"
"309","Benedikte","1427"
"310","Erika","1411"
"311","Mai","1398"
"312","Tanja","1365"
"313","Diana","1351"
"314","Matilde","1348"
"315","Solbjørg","1344"
"316","Ranveig","1341"
"317","Unn","1321"
"318","Amina","1315"
"319","Arnhild","1312"
"320","Amelia","1302"
"321","Ana","1301"
"322","Nadia","1301"
"323","Inger-Lise","1285"
"324","Kate","1278"
"325","Petra","1278"
"326","Ragna","1277"
"327","Joanna","1274"
"328","Haldis","1258"
"329","Margrete","1256"
"330","Anne-Marie","1244"
"331","Annie","1233"
"332","Ingjerd","1218"
"333","Karolina","1215"
"334","Mariell","1209"
"335","Alina","1206"
"336","Hedvig","1206"
"337","Thi","1204"
"338","Esther","1193"
"339","Stella","1188"
"340","Sylvi","1171"
"341","Milla","1167"
"342","Oddveig","1160"
"343","Angelica","1159"
"344","Elizabeth","1153"
"345","Sophie","1149"
"346","Borgny","1141"
"347","May-Britt","1138"
"348","Cornelia","1134"
"349","Kaia","1133"
"350","Malgorzata","1131"
"351","Sylvia","1124"
"352","Iren","1120"
"353","Barbro","1119"
"354","Anine","1118"
